x,y,value
0,0,1
0,24,1
0,38,1
0,47,1
1,1,1
1,25,1
1,40,1
1,45,1
2,2,1
2,26,1
2,36,1
2,46,1
3,3,1
3,27,1
3,41,1
3,43,1
4,4,1
4,28,1
4,37,1
4,44,1
5,5,1
5,29,1
5,39,1
5,42,1
6,6,1
6,30,1
6,44,1
6,23,1
7,7,1
7,31,1
7,46,1
7,21,1
8,8,1
8,32,1
8,42,1
8,22,1
9,9,1
9,33,1
9,47,1
9,19,1
10,10,1
10,34,1
10,43,1
10,20,1
11,11,1
11,35,1
11,45,1
11,18,1
12,12,1
12,36,1
12,14,1
12,35,1
13,13,1
13,37,1
13,16,1
13,33,1
14,14,1
14,38,1
14,12,1
14,34,1
15,15,1
15,39,1
15,17,1
15,31,1
16,16,1
16,40,1
16,13,1
16,32,1
17,17,1
17,41,1
17,15,1
17,30,1
18,18,1
18,42,1
18,20,1
18,11,1
19,19,1
19,43,1
19,22,1
19,9,1
20,20,1
20,44,1
20,18,1
20,10,1
21,21,1
21,45,1
21,23,1
21,7,1
22,22,1
22,46,1
22,19,1
22,8,1
23,23,1
23,47,1
23,21,1
23,6,1
24,24,1
24,0,1
24,26,1
24,41,1
25,25,1
25,1,1
25,28,1
25,39,1
26,26,1
26,2,1
26,24,1
26,40,1
27,27,1
27,3,1
27,29,1
27,37,1
28,28,1
28,4,1
28,25,1
28,38,1
29,29,1
29,5,1
29,27,1
29,36,1
30,30,1
30,6,1
30,32,1
30,17,1
31,31,1
31,7,1
31,34,1
31,15,1
32,32,1
32,8,1
32,30,1
32,16,1
33,33,1
33,9,1
33,35,1
33,13,1
34,34,1
34,10,1
34,31,1
34,14,1
35,35,1
35,11,1
35,33,1
35,12,1
36,36,1
36,12,1
36,2,1
36,29,1
37,37,1
37,13,1
37,4,1
37,27,1
38,38,1
38,14,1
38,0,1
38,28,1
39,39,1
39,15,1
39,5,1
39,25,1
40,40,1
40,16,1
40,1,1
40,26,1
41,41,1
41,17,1
41,3,1
41,24,1
42,42,1
42,18,1
42,8,1
42,5,1
43,43,1
43,19,1
43,10,1
43,3,1
44,44,1
44,20,1
44,6,1
44,4,1
45,45,1
45,21,1
45,11,1
45,1,1
46,46,1
46,22,1
46,7,1
46,2,1
47,47,1
47,23,1
47,9,1
47,0,1
