eigenvalue,multiplicity,estimated rational
[5.],1,5
[4.28657],12,[4.28657]
[3.9999995],11,4
[3.740541],6,[3.74054]
[3.694211],6,[3.69421]
[3.561554],13,[3.56155]
[3.5243378],4,[3.52434]
[3.4985442],6,7/2
[3.4753504],12,[3.47535]
[3.3975458],6,[3.39755]
[3.299985],8,33/10
[3.000002],4,3
[2.9318519],8,[2.93185]
[2.8823147],8,[2.88231]
[2.7320528],2,[2.73205]
[2.5005922],6,5/2
[2.],11,2
[1.9011799],6,[1.90118]
[1.8609381],6,[1.86094]
[1.8136067],6,[1.81361]
[1.7922864],4,[1.79229]
[1.703059],8,[1.70306]
[1.6996009],6,[1.6996]
[1.5176382],8,[1.51764]
[1.4454796],12,[1.44548]
[1.414213],6,[1.41421]
[1.2483575],8,[1.24836]
[1.],16,1
[0.48236156],8,[0.48236]
[0.300399],6,[0.3004]
[0.23347205],8,[0.23347]
[0.20771182],4,[0.20771]
[0.13906336],6,[0.13906]
[-3.5762787e-07],16,0
[-0.47068393],6,[-0.47068]
[-0.5005909],6,-1/2
[-0.561553],13,[-0.56155]
[-0.7320528],2,[-0.73205]
[-0.93185115],8,[-0.93185]
[-0.99999964],4,-1
[-1.1652468],8,[-1.16525]
[-1.2074031],12,[-1.2074]
[-1.2717046],6,[-1.2717]
[-1.3975464],6,[-1.39755]
[-1.4142131],6,[-1.41421]
[-1.5243357],4,[-1.52434]
[-1.694213],6,[-1.69421]
[-1.740539],6,[-1.74054]
[-1.8739184],8,[-1.87392]
[-1.9999994],4,-2
[-2.1280198],6,[-2.12802]
[-2.3280206],8,[-2.32802]
[-2.3429227],6,[-2.34292]
