x,y,value
0,0,1
0,6,1
0,14,1
0,23,1
1,1,1
1,7,1
1,20,1
1,17,1
2,2,1
2,12,1
2,8,1
2,21,1
3,3,1
3,13,1
3,22,1
3,11,1
4,4,1
4,18,1
4,10,1
4,15,1
5,5,1
5,19,1
5,16,1
5,9,1
6,6,1
6,0,1
6,12,1
6,22,1
7,7,1
7,1,1
7,18,1
7,16,1
8,8,1
8,14,1
8,2,1
8,19,1
9,9,1
9,15,1
9,23,1
9,5,1
10,10,1
10,20,1
10,4,1
10,13,1
11,11,1
11,21,1
11,17,1
11,3,1
12,12,1
12,2,1
12,6,1
12,20,1
13,13,1
13,3,1
13,19,1
13,10,1
14,14,1
14,8,1
14,0,1
14,18,1
15,15,1
15,9,1
15,21,1
15,4,1
16,16,1
16,22,1
16,5,1
16,7,1
17,17,1
17,23,1
17,11,1
17,1,1
18,18,1
18,4,1
18,7,1
18,14,1
19,19,1
19,5,1
19,13,1
19,8,1
20,20,1
20,10,1
20,1,1
20,12,1
21,21,1
21,11,1
21,15,1
21,2,1
22,22,1
22,16,1
22,3,1
22,6,1
23,23,1
23,17,1
23,9,1
23,0,1
