eigenvalue,multiplicity,estimated rational
[7.0000014],1,7
[6.0000033],20,6
[5.351084],35,[5.35108]
[5.299562],15,[5.29956]
[4.9999995],118,5
[4.6814804],20,[4.68148]
[4.5641646],21,[4.56416]
[4.5518007],35,[4.5518]
[4.5419116],35,[4.54191]
[4.5241165],15,[4.52412]
[4.4810386],21,[4.48104]
[4.4682493],35,[4.46825]
[4.466875],20,[4.46688]
[4.454888],35,[4.45489]
[4.440282],21,[4.44028]
[4.3862443],14,[4.38624]
[4.3794975],15,[4.3795]
[4.292974],21,[4.29297]
[4.26898],50,[4.26898]
[4.1951566],35,[4.19516]
[4.149832],35,[4.14983]
[4.056906],14,[4.05691]
[4.0406036],21,[4.0406]
[4.0000024],188,4
[3.9532022],35,[3.9532]
[3.9512386],15,[3.95124]
[3.901184],35,[3.90118]
[3.8786912],20,[3.87869]
[3.7986083],14,[3.79861]
[3.7757869],35,[3.77579]
[3.76437],6,[3.76437]
[3.7544165],21,[3.75442]
[3.7257924],20,[3.72579]
[3.7176638],15,[3.71766]
[3.6872678],35,[3.68727]
[3.6457481],14,[3.64575]
[3.6256542],35,[3.62565]
[3.6212702],35,[3.62127]
[3.5833845],15,43/12
[3.5699673],21,[3.56997]
[3.4813266],14,[3.48133]
[3.4433208],14,[3.44332]
[3.4054818],35,[3.40548]
[3.302103],21,[3.3021]
[3.1650834],35,[3.16508]
[3.069543],20,[3.06954]
[2.9432836],15,986/335
[2.9013453],35,647/223
[2.8141809],21,[2.81418]
[2.7307348],14,[2.73073]
[2.7048278],21,[2.70483]
[2.6757483],15,[2.67575]
[2.6404552],35,[2.64046]
[2.44486],35,[2.44486]
[2.3072348],14,[2.30723]
[2.275117],35,[2.27512]
[2.2122722],14,[2.21227]
[2.167808],35,[2.16781]
[2.0603085],35,[2.06031]
[1.9999992],258,2
[1.9748049],20,[1.9748]
[1.951902],15,[1.9519]
[1.850636],21,[1.85064]
[1.8389032],35,[1.8389]
[1.8275216],21,[1.82752]
[1.8182435],20,20/11
[1.7950032],35,[1.795]
[1.62819],15,[1.62819]
[1.6171851],14,[1.61719]
[1.6139855],35,[1.61399]
[1.6027656],35,[1.60277]
[1.5868852],14,484/305
[1.5396503],21,[1.53965]
[1.5369225],21,[1.53692]
[1.5046006],20,[1.5046]
[1.402592],35,[1.40259]
[1.2876992],35,[1.2877]
[1.2859852],20,[1.28599]
[1.2737836],35,[1.27378]
[1.2510015],15,[1.251]
[1.1936643],15,[1.19366]
[1.1895044],14,408/343
[1.1403186],35,[1.14032]
[1.0979512],21,[1.09795]
[0.9999993],63,1
[0.9617675],21,[0.96177]
[0.9335862],21,[0.93359]
[0.8326996],20,219/263
[0.7912698],35,[0.79127]
[0.78316027],35,[0.78316]
[0.7382543],35,[0.73825]
[0.6790317],35,[0.67903]
[0.6781468],15,[0.67815]
[0.67511964],14,[0.67512]
[0.5439162],15,[0.54392]
[0.51020133],14,25/49
[0.48980212],6,[0.4898]
[0.4550066],21,[0.45501]
[0.434008],35,[0.43401]
[0.42530876],21,[0.42531]
[0.41359496],35,[0.41359]
[0.3556034],15,[0.3556]
[0.2991258],35,[0.29913]
[0.23381537],21,[0.23382]
[2.3841858e-06],312,0
[-0.44280267],21,[-0.4428]
[-0.5267205],35,[-0.52672]
[-0.5327455],35,[-0.53275]
[-0.5441984],20,[-0.5442]
[-0.57669187],14,[-0.57669]
[-0.58664775],35,-413/704
[-0.6145865],35,[-0.61459]
[-0.64625406],20,[-0.64625]
[-0.70292866],15,[-0.70293]
[-0.7358248],14,[-0.73582]
[-0.74877214],35,[-0.74877]
[-0.8595511],35,[-0.85955]
[-0.8719661],20,[-0.87197]
[-0.9792156],35,[-0.97922]
[-0.9999999],57,-1
[-1.0216209],20,[-1.02162]
[-1.1042382],49,[-1.10424]
[-1.1144081],15,[-1.11441]
[-1.2606221],15,[-1.26062]
[-1.2617801],20,-241/191
[-1.3214296],21,-37/28
[-1.3428835],21,[-1.34288]
[-1.400261],35,-7/5
[-1.4122456],35,[-1.41225]
[-1.4274067],15,[-1.42741]
[-1.4374386],35,[-1.43744]
[-1.4440359],21,[-1.44404]
[-1.6300625],14,[-1.63006]
[-1.6457523],14,[-1.64575]
[-1.6611906],15,[-1.66119]
[-1.725439],35,[-1.72544]
[-1.7979935],14,[-1.79799]
[-1.8235236],21,-31/17
[-1.8344747],35,[-1.83447]
[-1.8599745],15,[-1.85997]
[-1.8896571],14,[-1.88966]
[-1.8951899],14,[-1.89519]
[-1.9377247],21,[-1.93772]
[-1.9866904],35,[-1.98669]
[-2.0124469],35,[-2.01245]
[-2.0327644],35,[-2.03276]
[-2.1279411],21,[-2.12794]
[-2.1771278],35,[-2.17713]
[-2.3147283],21,[-2.31473]
[-2.3581004],15,[-2.3581]
[-2.3986425],36,[-2.39864]
[-2.3999896],13,-12/5
[-2.4316754],35,[-2.43168]
[-2.4596777],35,-305/124
[-2.4611378],20,[-2.46114]
[-2.48182],21,[-2.48182]
[-2.5549564],21,[-2.55496]
[-2.5602932],35,[-2.56029]
[-2.5963235],14,[-2.59632]
[-2.658739],20,[-2.65874]
[-2.7046819],20,[-2.70468]
[-2.7163577],50,[-2.71636]
[-2.7517052],35,[-2.75171]
[-2.7624269],35,[-2.76243]
[-2.829],15,[-2.829]
[-2.9725037],14,[-2.9725]
[-3.0154128],15,[-3.01541]
[-3.0348644],21,[-3.03486]
[-3.0668793],35,[-3.06688]
[-3.0683312],16,[-3.06833]
[-3.0683389],4,[-3.06834]
[-3.1140656],14,[-3.11407]
[-3.2541723],6,[-3.25417]
[-3.2830296],14,[-3.28303]
[-3.5816364],35,[-3.58164]
