eigenvalue,multiplicity,estimated rational
[4.999967],1,5
[4.2424192],20,140/33
[4.0000024],19,4
[3.6319504],10,[3.63195]
[3.6284673],20,[3.62847]
[3.579665],20,[3.57966]
[3.489288],5,[3.48929]
[3.4739957],20,[3.474]
[3.4494874],26,[3.44949]
[3.4431062],20,[3.44311]
[3.4365323],10,[3.43653]
[3.4325306],10,[3.43253]
[3.428885],15,[3.42888]
[3.3630078],15,[3.36301]
[3.3500435],20,[3.35004]
[3.3462207],10,[3.34622]
[3.3148417],15,[3.31484]
[3.288592],20,[3.28859]
[3.2455025],20,[3.2455]
[3.204069],20,[3.20407]
[3.1788297],10,[3.17883]
[3.1774101],5,[3.17741]
[3.0563972],20,[3.0564]
[3.0338163],15,628/207
[3.0266125],15,[3.02661]
[3.0249527],20,[3.02495]
[3.0000002],34,3
[2.9170127],10,[2.91701]
[2.9094493],10,[2.90945]
[2.9043572],20,[2.90436]
[2.8976934],10,[2.89769]
[2.8951058],14,[2.89511]
[2.8869326],10,[2.88693]
[2.853989],5,[2.85399]
[2.8308508],10,[2.83085]
[2.8284283],10,[2.82843]
[2.8078144],20,[2.80781]
[2.7947786],15,[2.79478]
[2.7887058],20,[2.78871]
[2.775615],20,[2.77562]
[2.7451696],15,[2.74517]
[2.732776],15,[2.73278]
[2.7228265],10,[2.72283]
[2.7151942],10,[2.71519]
[2.69432],20,[2.69432]
[2.6410081],20,[2.64101]
[2.6347215],10,[2.63472]
[2.6221287],10,[2.62213]
[2.617866],20,[2.61787]
[2.5687122],15,[2.56871]
[2.5507085],20,[2.55071]
[2.5496533],15,[2.54965]
[2.5483534],10,[2.54835]
[2.3997972],5,12/5
[2.3473523],15,[2.34735]
[2.307925],5,[2.30792]
[2.2906811],10,[2.29068]
[2.2596698],10,[2.25967]
[2.2189946],20,[2.21899]
[2.206066],20,[2.20607]
[2.1932728],15,[2.19327]
[2.1760135],20,[2.17601]
[2.1686223],15,[2.16862]
[2.1133702],20,[2.11337]
[2.000001],26,2
[1.854689],10,[1.85469]
[1.7820934],20,[1.78209]
[1.7594228],6,[1.75942]
[1.7583543],15,[1.75835]
[1.7320532],10,[1.73205]
[1.6991619],10,[1.69916]
[1.5977361],9,[1.59774]
[1.554276],10,[1.55428]
[1.488021],20,[1.48802]
[1.4622221],20,329/225
[1.4033676],10,[1.40337]
[1.3915939],15,[1.39159]
[1.3452952],20,[1.3453]
[1.3103875],20,[1.31039]
[1.2891704],5,[1.28917]
[1.2758216],10,[1.27582]
[1.267903],10,[1.2679]
[1.2321628],20,[1.23216]
[1.210565],20,[1.21056]
[1.197922],10,[1.19792]
[1.180291],30,[1.18029]
[1.147474],15,[1.14747]
[1.125266],20,[1.12527]
[1.0050559],20,1
[0.9999995],71,1
[0.9544916],15,[0.95449]
[0.946871],10,[0.94687]
[0.8823231],10,15/17
[0.8703946],35,[0.87039]
[0.8596232],15,[0.85962]
[0.85142726],20,[0.85143]
[0.8425161],15,[0.84252]
[0.83771306],5,[0.83771]
[0.8299118],10,[0.82991]
[0.82487863],5,[0.82488]
[0.797579],10,[0.79758]
[0.75718784],20,[0.75719]
[0.73955566],15,[0.73956]
[0.7308242],20,[0.73082]
[0.67836446],5,[0.67836]
[0.6634945],20,[0.66349]
[0.62961954],15,17/27
[0.59006184],10,95/161
[0.5821687],20,[0.58217]
[0.5615514],10,[0.56155]
[0.52519196],10,[0.52519]
[0.46344122],15,[0.46344]
[0.44861108],20,[0.44861]
[0.4453902],20,[0.44539]
[0.4249301],20,[0.42493]
[0.42265773],15,[0.42266]
[0.41421214],10,[0.41421]
[0.3602648],15,[0.36026]
[0.32654533],10,[0.32655]
[0.31955186],9,[0.31955]
[0.2828055],20,[0.28281]
[0.24097775],20,[0.24098]
[0.20949315],15,[0.20949]
[0.20674293],20,[0.20674]
[0.09287703],20,[0.09288]
[-7.728746e-07],81,0
[-0.13291685],10,[-0.13292]
[-0.3020299],5,[-0.30203]
[-0.30656943],20,-42/137
[-0.31780338],20,[-0.3178]
[-0.36112824],20,[-0.36113]
[-0.39548114],5,[-0.39548]
[-0.4025856],10,[-0.40259]
[-0.41079932],15,[-0.4108]
[-0.41959625],10,[-0.4196]
[-0.44571543],10,[-0.44572]
[-0.4760488],15,[-0.47605]
[-0.4827149],10,[-0.48271]
[-0.5329715],15,[-0.53297]
[-0.6027066],14,[-0.60271]
[-0.62530106],20,[-0.6253]
[-0.6270306],10,[-0.62703]
[-0.62893486],6,[-0.62893]
[-0.6309756],15,[-0.63098]
[-0.69268614],20,[-0.69269]
[-0.69891673],20,[-0.69892]
[-0.7721279],15,[-0.77213]
[-0.7755777],20,[-0.77558]
[-0.8148622],15,[-0.81486]
[-0.8329688],15,[-0.83297]
[-0.86077833],20,[-0.86078]
[-0.8659536],10,[-0.86595]
[-0.87484837],10,-7/8
[-0.9601974],20,[-0.9602]
[-0.9999999],72,-1
[-1.0538133],20,[-1.05381]
[-1.1788716],20,[-1.17887]
[-1.2530234],10,[-1.25302]
[-1.2710245],20,[-1.27102]
[-1.2758211],10,[-1.27582]
[-1.3049811],10,[-1.30498]
[-1.3970977],15,[-1.3971]
[-1.4298362],10,[-1.42984]
[-1.4494898],26,[-1.44949]
[-1.4555506],20,[-1.45555]
[-1.4819309],15,[-1.48193]
[-1.5251712],10,[-1.52517]
[-1.5285057],5,[-1.52851]
[-1.6307513],20,[-1.63075]
[-1.6389141],20,[-1.63891]
[-1.6626824],15,[-1.66268]
[-1.73205],10,[-1.73205]
[-1.7475674],15,[-1.74757]
[-1.7775757],20,[-1.77758]
[-1.7784592],5,[-1.77846]
[-1.8074929],10,[-1.80749]
[-1.8117985],20,[-1.8118]
[-1.8409636],20,[-1.84096]
[-1.8557713],5,[-1.85577]
[-1.8978596],10,[-1.89786]
[-1.9012488],20,[-1.90125]
[-1.9614992],15,[-1.9615]
[-1.9691517],10,-766/389
[-1.9707249],10,[-1.97072]
[-1.9999992],56,-2
[-2.0874288],20,[-2.08743]
[-2.216187],15,[-2.21619]
[-2.2924013],14,[-2.2924]
[-2.3110564],15,[-2.31106]
[-2.3135307],10,[-2.31353]
[-2.34054],10,[-2.34054]
[-2.34186],5,[-2.34186]
[-2.347606],20,[-2.34761]
[-2.3936784],15,[-2.39368]
[-2.4142148],10,[-2.41421]
[-2.4210198],20,[-2.42102]
[-2.4268255],15,[-2.42683]
[-2.4547374],20,[-2.45474]
[-2.4584045],10,[-2.4584]
[-2.4663172],6,[-2.46632]
[-2.48426],15,[-2.48426]
[-2.555453],15,-23/9
[-2.5662296],20,[-2.56623]
[-2.5984807],20,[-2.59848]
[-2.6353407],20,[-2.63534]
[-2.6427457],20,[-2.64275]
[-2.6716614],10,[-2.67166]
[-2.7092192],10,[-2.70922]
[-2.7151976],10,[-2.7152]
[-2.7416818],20,[-2.74168]
[-2.7629335],10,[-2.76293]
[-2.7677174],5,[-2.76772]
[-2.778319],10,[-2.77832]
[-2.7928936],20,[-2.79289]
[-2.8284247],10,[-2.82842]
[-2.848192],20,[-2.84819]
[-2.9085941],20,[-2.90859]
[-2.9999988],20,-3
[-3.0486798],15,[-3.04868]
[-3.0548522],20,-724/237
[-3.0818558],15,[-3.08186]
[-3.155241],20,[-3.15524]
[-3.2284672],5,[-3.22847]
[-3.246426],20,[-3.24643]
[-3.2608833],15,-75/23
[-3.2713242],10,[-3.27132]
[-3.3008735],20,[-3.30087]
[-3.303949],10,[-3.30395]
[-3.3164341],20,[-3.31643]
[-3.3341424],10,-10/3
[-3.3395302],10,[-3.33953]
[-3.4140022],20,[-3.414]
[-3.4354157],20,[-3.43542]
[-3.4932911],20,[-3.49329]
[-3.5089982],15,[-3.509]
[-3.5324364],15,[-3.53244]
[-3.5615537],10,[-3.56155]
[-3.584329],10,[-3.58433]
[-3.6276097],10,[-3.62761]
[-3.6641684],6,[-3.66417]
[-3.6974208],10,[-3.69742]
[-3.7020843],15,[-3.70208]
[-3.8828156],5,[-3.88282]
[-3.9172847],9,[-3.91728]
[-3.9278393],20,[-3.92784]
[-3.9466908],15,[-3.94669]
[-3.9487402],15,[-3.94874]
[-4.0000005],4,-4
