x,y,value
0,720,1
0,1560,1
0,2424,1
0,3294,1
0,4166,1
0,5039,1
1,721,1
1,1561,1
1,2425,1
1,3295,1
1,4886,1
1,4319,1
2,722,1
2,1562,1
2,2426,1
2,4014,1
2,3446,1
2,4919,1
3,723,1
3,1563,1
3,2427,1
3,4015,1
3,5006,1
3,3599,1
4,724,1
4,1564,1
4,2428,1
4,4734,1
4,3566,1
4,4199,1
5,725,1
5,1565,1
5,2429,1
5,4735,1
5,4286,1
5,3479,1
6,726,1
6,1566,1
6,3144,1
6,2574,1
6,4046,1
6,5015,1
7,727,1
7,1567,1
7,3145,1
7,2575,1
7,4766,1
7,4295,1
8,728,1
8,1568,1
8,3146,1
8,4134,1
8,2726,1
8,4799,1
9,729,1
9,1569,1
9,3147,1
9,4135,1
9,5030,1
9,2879,1
10,730,1
10,1570,1
10,3148,1
10,4854,1
10,2846,1
10,4079,1
11,731,1
11,1571,1
11,3149,1
11,4855,1
11,4310,1
11,2759,1
12,732,1
12,1572,1
12,3864,1
12,2694,1
12,3326,1
12,4895,1
13,733,1
13,1573,1
13,3865,1
13,2695,1
13,4790,1
13,3575,1
14,734,1
14,1574,1
14,3866,1
14,3414,1
14,2606,1
14,4775,1
15,735,1
15,1575,1
15,3867,1
15,3415,1
15,4910,1
15,2855,1
16,736,1
16,1576,1
16,3868,1
16,4974,1
16,2870,1
16,3359,1
17,737,1
17,1577,1
17,3869,1
17,4975,1
17,3590,1
17,2639,1
18,738,1
18,1578,1
18,4584,1
18,2814,1
18,3350,1
18,4175,1
19,739,1
19,1579,1
19,4585,1
19,2815,1
19,4070,1
19,3455,1
20,740,1
20,1580,1
20,4586,1
20,3534,1
20,2630,1
20,4055,1
21,741,1
21,1581,1
21,4587,1
21,3535,1
21,4190,1
21,2735,1
22,742,1
22,1582,1
22,4588,1
22,4254,1
22,2750,1
22,3335,1
23,743,1
23,1583,1
23,4589,1
23,4255,1
23,3470,1
23,2615,1
24,744,1
24,2280,1
24,1704,1
24,3174,1
24,4142,1
24,5033,1
25,745,1
25,2281,1
25,1705,1
25,3175,1
25,4862,1
25,4313,1
26,746,1
26,2282,1
26,1706,1
26,3894,1
26,3422,1
26,4913,1
27,747,1
27,2283,1
27,1707,1
27,3895,1
27,4982,1
27,3593,1
28,748,1
28,2284,1
28,1708,1
28,4614,1
28,3542,1
28,4193,1
29,749,1
29,2285,1
29,1709,1
29,4615,1
29,4262,1
29,3473,1
30,750,1
30,2286,1
30,3264,1
30,1854,1
30,3926,1
30,4991,1
31,751,1
31,2287,1
31,3265,1
31,1855,1
31,4646,1
31,4271,1
32,752,1
32,2288,1
32,3266,1
32,4158,1
32,2006,1
32,4679,1
33,753,1
33,2289,1
33,3267,1
33,4159,1
33,5036,1
33,2159,1
34,754,1
34,2290,1
34,3268,1
34,4878,1
34,2126,1
34,3959,1
35,755,1
35,2291,1
35,3269,1
35,4879,1
35,4316,1
35,2039,1
36,756,1
36,2292,1
36,3984,1
36,1974,1
36,3206,1
36,4871,1
37,757,1
37,2293,1
37,3985,1
37,1975,1
37,4670,1
37,3551,1
38,758,1
38,2294,1
38,3986,1
38,3438,1
38,1886,1
38,4655,1
39,759,1
39,2295,1
39,3987,1
39,3439,1
39,4916,1
39,2135,1
40,760,1
40,2296,1
40,3988,1
40,4998,1
40,2150,1
40,3239,1
41,761,1
41,2297,1
41,3989,1
41,4999,1
41,3596,1
41,1919,1
42,762,1
42,2298,1
42,4704,1
42,2094,1
42,3230,1
42,4151,1
43,763,1
43,2299,1
43,4705,1
43,2095,1
43,3950,1
43,3431,1
44,764,1
44,2300,1
44,4706,1
44,3558,1
44,1910,1
44,3935,1
45,765,1
45,2301,1
45,4707,1
45,3559,1
45,4196,1
45,2015,1
46,766,1
46,2302,1
46,4708,1
46,4278,1
46,2030,1
46,3215,1
47,767,1
47,2303,1
