eigenvalue,multiplicity,estimated rational
[5.999954],1,6
[4.9999895],17,5
[4.999971],3,5
[4.35109],35,[4.35109]
[4.2995653],15,[4.29957]
[3.9999962],118,4
[3.6814861],20,[3.68149]
[3.5641625],21,[3.56416]
[3.5518017],35,[3.5518]
[3.5419068],35,[3.54191]
[3.5241172],15,[3.52412]
[3.481032],21,[3.48103]
[3.4682508],32,[3.46825]
[3.4682453],3,[3.46825]
[3.4668725],20,[3.46687]
[3.454885],35,[3.45488]
[3.4402804],21,[3.44028]
[3.3862412],14,[3.38624]
[3.3794904],15,[3.37949]
[3.2929757],21,[3.29298]
[3.269183],20,[3.26918]
[3.2691803],0,[3.26918]
[3.2690437],21,[3.26904]
[3.2686112],9,[3.26861]
[3.1951537],35,[3.19515]
[3.1498306],35,[3.14983]
[3.0569046],14,[3.0569]
[3.0406013],21,[3.0406]
[2.9999967],188,3
[2.953199],35,[2.9532]
[2.9512353],15,[2.95124]
[2.901181],35,[2.90118]
[2.8786917],20,[2.87869]
[2.7986085],14,[2.79861]
[2.7757866],35,[2.77579]
[2.764365],6,[2.76436]
[2.7544153],21,[2.75442]
[2.7257864],20,[2.72579]
[2.7176704],15,[2.71767]
[2.6872652],35,[2.68727]
[2.6457505],14,[2.64575]
[2.625655],35,[2.62566]
[2.6212704],35,[2.62127]
[2.5833793],15,31/12
[2.569969],21,[2.56997]
[2.4813218],14,[2.48132]
[2.4433165],14,[2.44332]
[2.4054809],35,[2.40548]
[2.3021019],21,[2.3021]
[2.165082],35,[2.16508]
[2.0695415],20,[2.06954]
[1.9432864],15,[1.94329]
[1.901347],35,[1.90135]
[1.8141811],21,[1.81418]
[1.7307329],14,[1.73073]
[1.7048266],21,[1.70483]
[1.6757518],15,[1.67575]
[1.640456],35,[1.64046]
[1.4448627],35,[1.44486]
[1.3072344],14,[1.30723]
[1.2751186],35,[1.27512]
[1.2122716],14,[1.21227]
[1.1678096],35,[1.16781]
[1.0603075],35,[1.06031]
[0.9999994],258,1
[0.97480744],20,[0.97481]
[0.95190287],15,[0.9519]
[0.8506376],21,[0.85064]
[0.8389034],35,[0.8389]
[0.82752246],21,[0.82752]
[0.8182462],20,9/11
[0.7950071],35,[0.79501]
[0.6281914],15,[0.62819]
[0.6171867],14,[0.61719]
[0.6139862],35,[0.61399]
[0.6027696],35,[0.60277]
[0.5868831],14,[0.58688]
[0.539652],21,[0.53965]
[0.53692514],21,[0.53693]
[0.5046012],20,[0.5046]
[0.40258953],35,[0.40259]
[0.28770036],35,[0.2877]
[0.2859845],20,[0.28598]
[0.27378437],35,[0.27378]
[0.25100496],15,[0.251]
[0.19366443],15,[0.19366]
[0.18950485],14,[0.1895]
[0.14031917],35,[0.14032]
[0.09795326],21,[0.09795]
