x,y,value
0,0,3
0,9,1
0,14,1
0,23,1
0,26,1
0,28,1
0,41,1
1,1,3
1,11,1
1,16,1
1,21,1
1,26,1
1,28,1
1,39,1
2,2,3
2,7,1
2,12,1
2,22,1
2,24,1
2,29,1
2,40,1
3,3,3
3,10,1
3,17,1
3,19,1
3,24,1
3,29,1
3,37,1
4,4,3
4,6,1
4,13,1
4,20,1
4,25,1
4,27,1
4,38,1
5,5,3
5,8,1
5,15,1
5,18,1
5,25,1
5,27,1
5,36,1
6,4,1
6,6,3
6,17,1
6,20,1
6,21,1
6,32,1
6,47,1
7,2,1
7,7,3
7,15,1
7,22,1
7,23,1
7,34,1
7,45,1
8,5,1
8,8,3
8,16,1
8,18,1
8,19,1
8,30,1
8,46,1
9,0,1
9,9,3
9,13,1
9,22,1
9,23,1
9,35,1
9,43,1
10,3,1
10,10,3
10,14,1
10,18,1
10,19,1
10,31,1
10,44,1
11,1,1
11,11,3
11,12,1
11,20,1
11,21,1
11,33,1
11,42,1
12,2,1
12,11,1
12,12,3
12,29,1
12,33,1
12,34,1
12,38,1
13,4,1
13,9,1
13,13,3
13,27,1
13,32,1
13,35,1
13,40,1
14,0,1
14,10,1
14,14,3
14,28,1
14,31,1
14,35,1
14,36,1
15,5,1
15,7,1
15,15,3
15,25,1
15,30,1
15,34,1
15,41,1
16,1,1
16,8,1
16,16,3
16,26,1
16,30,1
16,33,1
16,37,1
17,3,1
17,6,1
17,17,3
17,24,1
17,31,1
17,32,1
17,39,1
18,5,1
18,8,1
18,10,1
18,18,3
18,35,1
18,44,1
18,45,1
19,3,1
19,8,1
19,10,1
19,19,3
19,33,1
19,46,1
19,47,1
20,4,1
20,6,1
20,11,1
20,20,3
20,34,1
20,42,1
20,43,1
21,1,1
21,6,1
21,11,1
21,21,3
21,31,1
21,46,1
21,47,1
22,2,1
22,7,1
22,9,1
22,22,3
22,32,1
22,42,1
22,43,1
23,0,1
23,7,1
23,9,1
23,23,3
23,30,1
23,44,1
23,45,1
24,2,1
24,3,1
24,17,1
24,24,3
24,38,1
24,40,1
24,47,1
25,4,1
25,5,1
25,15,1
25,25,3
25,38,1
25,40,1
25,45,1
26,0,1
26,1,1
26,16,1
26,26,3
26,36,1
26,41,1
26,46,1
27,4,1
27,5,1
27,13,1
27,27,3
27,36,1
27,41,1
27,43,1
28,0,1
28,1,1
28,14,1
28,28,3
28,37,1
28,39,1
28,44,1
29,2,1
29,3,1
29,12,1
29,29,3
29,37,1
29,39,1
29,42,1
30,8,1
30,15,1
30,16,1
30,23,1
30,30,3
30,41,1
30,44,1
31,10,1
31,14,1
31,17,1
31,21,1
31,31,3
31,39,1
31,46,1
32,6,1
32,13,1
32,17,1
32,22,1
32,32,3
32,40,1
32,42,1
33,11,1
33,12,1
33,16,1
33,19,1
33,33,3
33,37,1
33,47,1
34,7,1
34,12,1
34,15,1
34,20,1
34,34,3
34,38,1
34,43,1
35,9,1
35,13,1
35,14,1
35,18,1
35,35,3
35,36,1
35,45,1
36,5,1
36,14,1
36,26,1
36,27,1
36,35,1
36,36,3
36,46,1
37,3,1
37,16,1
37,28,1
37,29,1
37,33,1
37,37,3
37,44,1
38,4,1
38,12,1
38,24,1
38,25,1
38,34,1
38,38,3
38,47,1
39,1,1
39,17,1
39,28,1
39,29,1
39,31,1
39,39,3
39,42,1
40,2,1
40,13,1
40,24,1
40,25,1
40,32,1
40,40,3
40,45,1
41,0,1
41,15,1
41,26,1
41,27,1
41,30,1
41,41,3
41,43,1
42,11,1
42,20,1
42,22,1
42,29,1
42,32,1
42,39,1
42,42,3
43,9,1
43,20,1
43,22,1
43,27,1
43,34,1
43,41,1
43,43,3
44,10,1
44,18,1
44,23,1
44,28,1
44,30,1
44,37,1
44,44,3
45,7,1
45,18,1
45,23,1
45,25,1
45,35,1
45,40,1
45,45,3
46,8,1
46,19,1
46,21,1
46,26,1
46,31,1
46,36,1
46,46,3
47,6,1
47,19,1
47,21,1
47,24,1
47,33,1
47,38,1
47,47,3
