eigenvalue,multiplicity,estimated rational
[15.999997],1,16
[11.175139],6,[11.17514]
[11.075719],8,[11.07572]
[10.801545],12,[10.80154]
[9.784513],6,[9.78451]
[9.],15,9
[8.2594185],8,[8.25942]
[7.510558],12,[7.51056]
[7.258788],12,[7.25879]
[6.5615535],13,[6.56155]
[6.372281],8,[6.37228]
[6.2427244],6,[6.24272]
[6.127372],12,[6.12737]
[5.828429],6,[5.82843]
[5.74823],12,[5.74823]
[5.289928],8,[5.28993]
[5.1606407],6,[5.16064]
[4.872629],12,[4.87263]
[4.6882844],8,[4.68828]
[4.000002],8,4
[3.7320507],16,[3.73205]
[3.543107],8,[3.54311]
[2.999997],4,3
[2.4384484],13,[2.43845]
[2.2517715],12,[2.25177]
[2.162907],6,[2.16291]
[0.9999988],28,1
[0.81212616],6,[0.81213]
[0.7412133],12,[0.74121]
[0.66195416],6,[0.66195]
[0.62771845],8,[0.62772]
[0.58756447],8,[0.58756]
[0.49429274],8,[0.49429]
[0.48944235],12,[0.48944]
[0.26795053],16,[0.26795]
[0.19845104],12,[0.19845]
[0.17157197],6,[0.17157]
[0.0616827],8,[0.06168]
[-4.7683716e-07],15,0
