x,y,value
0,0,5
0,144,1
0,150,1
0,152,1
0,153,1
0,240,1
0,294,1
0,302,1
0,305,1
0,360,1
0,408,1
0,446,1
0,455,1
0,480,1
0,552,1
0,564,1
0,599,1
0,600,1
0,696,1
0,714,1
0,718,1
1,1,5
1,145,1
1,151,1
1,154,1
1,155,1
1,241,1
1,295,1
1,308,1
1,311,1
1,361,1
1,409,1
1,470,1
1,479,1
1,480,1
1,576,1
1,594,1
1,598,1
1,600,1
1,672,1
1,684,1
1,719,1
2,2,5
2,146,1
2,156,1
2,158,1
2,159,1
2,242,1
2,318,1
2,326,1
2,329,1
2,360,1
2,432,1
2,444,1
2,479,1
2,480,1
2,528,1
2,566,1
2,575,1
2,601,1
2,672,1
2,690,1
2,694,1
3,3,5
3,147,1
3,157,1
3,160,1
3,161,1
3,243,1
3,319,1
3,332,1
3,335,1
3,360,1
3,456,1
3,474,1
3,478,1
3,481,1
3,529,1
3,590,1
3,599,1
3,601,1
3,695,1
3,696,1
3,708,1
4,4,5
4,148,1
4,162,1
4,164,1
4,165,1
4,244,1
4,342,1
4,350,1
4,353,1
4,361,1
4,455,1
4,456,1
4,468,1
4,481,1
4,552,1
4,570,1
4,574,1
4,600,1
4,648,1
4,686,1
4,695,1
5,5,5
5,149,1
5,163,1
5,166,1
5,167,1
5,245,1
5,343,1
5,356,1
5,359,1
5,361,1
5,432,1
5,450,1
5,454,1
5,481,1
5,575,1
5,576,1
5,588,1
5,601,1
5,649,1
5,710,1
5,719,1
6,6,5
6,168,1
6,174,1
6,176,1
6,177,1
6,240,1
6,288,1
6,326,1
6,335,1
6,360,1
6,414,1
6,422,1
6,425,1
6,482,1
6,528,1
6,540,1
6,593,1
6,602,1
6,697,1
6,708,1
6,712,1
7,7,5
7,169,1
7,175,1
7,178,1
7,179,1
7,241,1
7,289,1
7,350,1
7,359,1
7,361,1
7,415,1
7,428,1
7,431,1
7,482,1
7,577,1
7,588,1
7,592,1
7,602,1
7,648,1
7,660,1
7,713,1
8,8,5
8,170,1
8,180,1
8,182,1
8,183,1
8,240,1
8,312,1
8,324,1
8,359,1
8,362,1
8,438,1
8,446,1
8,449,1
8,482,1
8,542,1
8,551,1
8,552,1
8,603,1
8,648,1
8,666,1
8,670,1
9,9,5
9,171,1
9,181,1
9,184,1
9,185,1
9,240,1
9,336,1
9,354,1
9,358,1
9,363,1
9,439,1
9,452,1
9,455,1
9,483,1
9,553,1
9,593,1
9,596,1
9,603,1
9,671,1
9,697,1
9,714,1
10,10,5
10,172,1
10,186,1
10,188,1
10,189,1
10,241,1
10,335,1
10,336,1
10,348,1
10,364,1
10,462,1
10,470,1
10,473,1
10,483,1
10,528,1
10,546,1
10,550,1
10,602,1
10,662,1
10,671,1
10,672,1
11,11,5
11,173,1
11,187,1
11,190,1
11,191,1
11,241,1
11,312,1
11,330,1
11,334,1
11,365,1
11,463,1
11,476,1
11,479,1
11,483,1
11,551,1
11,577,1
11,594,1
11,603,1
11,673,1
11,713,1
11,716,1
12,12,5
12,192,1
12,198,1
12,200,1
12,201,1
12,242,1
12,302,1
12,311,1
12,312,1
12,362,1
12,408,1
12,420,1
12,473,1
12,480,1
12,534,1
12,542,1
12,545,1
12,604,1
12,673,1
12,684,1
12,688,1
13,13,5
13,193,1
13,199,1
13,202,1
13,203,1
13,243,1
13,313,1
13,353,1
13,356,1
13,362,1
13,457,1
13,468,1
13,472,1
13,481,1
13,535,1
13,548,1
13,551,1
13,604,1
13,649,1
13,666,1
13,689,1
14,14,5
14,194,1
14,204,1
14,206,1
14,207,1
14,242,1
14,288,1
14,300,1
14,353,1
14,362,1
14,422,1
14,431,1
14,432,1
14,482,1
14,558,1
14,566,1
14,569,1
14,605,1
14,649,1
14,660,1
14,664,1
15,15,5
15,195,1
15,205,1
15,208,1
15,209,1
15,242,1
15,337,1
15,348,1
15,352,1
15,363,1
15,433,1
15,473,1
15,476,1
15,483,1
15,559,1
15,572,1
15,575,1
15,605,1
15,665,1
15,673,1
15,690,1
16,16,5
16,196,1
16,210,1
16,212,1
16,213,1
16,243,1
16,311,1
16,337,1
16,354,1
16,363,1
16,408,1
16,426,1
16,430,1
16,484,1
16,582,1
16,590,1
16,593,1
16,604,1
16,665,1
16,668,1
16,696,1
17,17,5
17,197,1
17,211,1
17,214,1
17,215,1
17,243,1
17,288,1
17,306,1
17,310,1
17,363,1
17,431,1
17,457,1
17,474,1
17,485,1
17,583,1
17,596,1
17,599,1
17,605,1
17,689,1
17,692,1
17,697,1
18,18,5
18,216,1
18,222,1
18,224,1
18,225,1
18,244,1
