eigenvalue,multiplicity,estimated rational
[24.999998],1,25
[16.026884],9,[16.02688]
[15.999996],14,16
[13.552198],10,[13.5522]
[12.4390545],5,[12.43906]
[11.691052],10,[11.69105]
[11.642679],16,[11.64268]
[11.317642],10,[11.31764]
[11.015688],16,[11.01569]
[10.703393],10,[10.70339]
[10.342346],9,[10.34235]
[9.375761],16,[9.37576]
[9.000002],49,9
[8.59471],10,[8.59471]
[8.385633],16,[8.38563]
[7.8355083],9,[7.83551]
[7.7102466],10,[7.71025]
[7.1895313],5,[7.18953]
[7.156657],9,[7.15666]
[6.751403],16,[6.7514]
[6.74358],10,[6.74358]
[6.561555],10,[6.56156]
[5.9640274],5,[5.96403]
[5.9257393],10,[5.92574]
[5.7187533],16,183/32
[5.3982053],5,[5.3982]
[5.150702],10,[5.1507]
[5.0301805],16,[5.03018]
[4.918103],9,[4.9181]
[4.5631075],16,470/103
[4.549512],5,[4.54951]
[3.9999995],24,4
[3.9504342],16,[3.95043]
[3.4602995],10,[3.4603]
[3.043282],9,[3.04328]
[2.6964042],10,[2.6964]
[2.4384468],10,[2.43845]
[2.3916042],9,[2.3916]
[1.7513983],10,[1.7514]
[1.1749327],9,[1.17493]
[0.99999714],79,1
[0.7758684],16,[0.77587]
[0.48521423],10,804/1657
[0.41226006],5,[0.41226]
[0.39601946],16,[0.39602]
[0.3118229],16,[0.31182]
[0.12606716],10,[0.12607]
[0.11067152],9,[0.11067]
[0.08183241],16,[0.08183]
[0.07429409],10,[0.07429]
[0.04740953],5,[0.04741]
[0.01707029],10,[0.01707]
[0.00027132],48,0
